,keep_expression,keep_numbers,lemmatize,lower,remove_char,remove_stop,remove_tag,stemmer,pearson_train,kendal_train,pearson_dev,kendal_dev
0,True,True,False,True,True,True,True,True,0.47360418630944906,0.310665339753147,0.5016017766941836,0.34334206224134456
1,True,True,False,True,True,True,True,False,0.4351800070866625,0.2941932370928627,0.4468464771549866,0.3097268349532795
2,True,True,False,True,True,True,False,True,0.47360418630944906,0.310665339753147,0.5016017766941836,0.34334206224134456
3,True,True,False,True,True,True,False,False,0.4351800070866625,0.2941932370928627,0.4468464771549866,0.3097268349532795
4,True,True,False,True,True,False,True,True,0.4918760591340378,0.3178287247497118,0.5271062016443692,0.36770606297101766
5,True,True,False,True,True,False,True,False,0.4627241178961775,0.30536821412418225,0.4936406325112113,0.3445416511128345
6,True,True,False,True,True,False,False,True,0.4918760591340378,0.3178287247497118,0.5271062016443692,0.36770606297101766
7,True,True,False,True,True,False,False,False,0.4627241178961775,0.30536821412418225,0.4936406325112113,0.3445416511128345
8,True,True,False,True,False,True,True,True,0.4263919827622659,0.282845389774529,0.4264657826249515,0.29604478123322725
9,True,True,False,True,False,True,True,False,0.40729351034361316,0.2751871896061879,0.406276658036756,0.2805126806365338
10,True,True,False,True,False,True,False,True,0.4263919827622659,0.282845389774529,0.4264657826249515,0.29604478123322725
11,True,True,False,True,False,True,False,False,0.40729351034361316,0.2751871896061879,0.406276658036756,0.2805126806365338
12,True,True,False,True,False,False,True,True,0.45182627531327074,0.29044879335448937,0.47970634156616476,0.3266136145802201
13,True,True,False,True,False,False,True,False,0.44505469485853616,0.29043657889118873,0.4587223249911555,0.31620991479123983
14,True,True,False,True,False,False,False,True,0.45182627531327074,0.29044879335448937,0.47970634156616476,0.3266136145802201
15,True,True,False,True,False,False,False,False,0.44505469485853616,0.29043657889118873,0.4587223249911555,0.31620991479123983
16,True,True,False,False,True,True,True,True,0.47606137860482367,0.3113077118108185,0.49370749491765464,0.3408710423287464
17,True,True,False,False,True,True,True,False,0.43892195160601444,0.2949996314759159,0.45828289455127813,0.3198139706556769
18,True,True,False,False,True,True,False,True,0.47606137860482367,0.3113077118108185,0.49370749491765464,0.3408710423287464
19,True,True,False,False,True,True,False,False,0.43892195160601444,0.2949996314759159,0.45828289455127813,0.3198139706556769
20,True,True,False,False,True,False,True,True,0.4918760591340378,0.3178287247497118,0.5271062016443692,0.36770606297101766
21,True,True,False,False,True,False,True,False,0.4627241178961775,0.30536821412418225,0.4936406325112113,0.3445416511128345
22,True,True,False,False,True,False,False,True,0.4918760591340378,0.3178287247497118,0.5271062016443692,0.36770606297101766
23,True,True,False,False,True,False,False,False,0.4627241178961775,0.30536821412418225,0.4936406325112113,0.3445416511128345
24,True,True,False,False,False,True,True,True,0.4255449614086996,0.27956998385725346,0.44832150094729806,0.3065201797614916
25,True,True,False,False,False,True,True,False,0.4088819331342722,0.27468187055096094,0.4148843770886338,0.2879586363491442
26,True,True,False,False,False,True,False,True,0.4255449614086996,0.27956998385725346,0.44832150094729806,0.3065201797614916
27,True,True,False,False,False,True,False,False,0.4088819331342722,0.27468187055096094,0.4148843770886338,0.2879586363491442
28,True,True,False,False,False,False,True,True,0.45182627531327074,0.29044879335448937,0.47970634156616476,0.3266136145802201
29,True,True,False,False,False,False,True,False,0.44505469485853616,0.29043657889118873,0.4587223249911555,0.31620991479123983
30,True,True,False,False,False,False,False,True,0.45182627531327074,0.29044879335448937,0.47970634156616476,0.3266136145802201
31,True,True,False,False,False,False,False,False,0.44505469485853616,0.29043657889118873,0.4587223249911555,0.31620991479123983
32,True,False,False,True,True,True,True,True,0.47698997106275487,0.31322556540335295,0.4882206101397965,0.3383657729817673
33,True,False,False,True,True,True,True,False,0.4404828139259023,0.29563874559269687,0.4692422349021105,0.3214632473200755
34,True,False,False,True,True,True,False,True,0.47698997106275487,0.31322556540335295,0.4882206101397965,0.3383657729817673
35,True,False,False,True,True,True,False,False,0.4404828139259023,0.29563874559269687,0.4692422349021105,0.3214632473200755
36,True,False,False,True,True,False,True,True,0.49554908739039,0.3204705450895077,0.5306201616680227,0.3691372623505899
37,True,False,False,True,True,False,True,False,0.46420253061180833,0.3043933060300377,0.5016186394745661,0.348524034916014
38,True,False,False,True,True,False,False,True,0.49554908739039,0.3204705450895077,0.5306201616680227,0.3691372623505899
39,True,False,False,True,True,False,False,False,0.46420253061180833,0.3043933060300377,0.5016186394745661,0.348524034916014
40,True,False,False,True,False,True,True,True,0.4205975566229336,0.28086124760257686,0.42525023093549064,0.29740442492349545
41,True,False,False,True,False,True,True,False,0.4053422919142052,0.27399333594410397,0.4115114645151544,0.2851242457769363
42,True,False,False,True,False,True,False,True,0.4205975566229336,0.28086124760257686,0.42525023093549064,0.29740442492349545
43,True,False,False,True,False,True,False,False,0.4053422919142052,0.27399333594410397,0.4115114645151544,0.2851242457769363
44,True,False,False,True,False,False,True,True,0.4505719123440821,0.290858987022228,0.48491878206077416,0.3313038262382407
45,True,False,False,True,False,False,True,False,0.4447654390613472,0.2900298518819532,0.4622422454543351,0.32015727411979306
46,True,False,False,True,False,False,False,True,0.4505719123440821,0.290858987022228,0.48491878206077416,0.3313038262382407
47,True,False,False,True,False,False,False,False,0.4447654390613472,0.2900298518819532,0.4622422454543351,0.32015727411979306
48,True,False,False,False,True,True,True,True,0.47940303972880954,0.31351607493737454,0.503630729492655,0.3462399459680395
49,True,False,False,False,True,True,True,False,0.44192575774706944,0.2948283782815327,0.46277263466498014,0.32122590855185856
50,True,False,False,False,True,True,False,True,0.47940303972880954,0.31351607493737454,0.503630729492655,0.3462399459680395
51,True,False,False,False,True,True,False,False,0.44192575774706944,0.2948283782815327,0.46277263466498014,0.32122590855185856
52,True,False,False,False,True,False,True,True,0.49554908739039,0.3204705450895077,0.5306201616680227,0.3691372623505899
53,True,False,False,False,True,False,True,False,0.46420253061180833,0.3043933060300377,0.5016186394745661,0.348524034916014
54,True,False,False,False,True,False,False,True,0.49554908739039,0.3204705450895077,0.5306201616680227,0.3691372623505899
55,True,False,False,False,True,False,False,False,0.46420253061180833,0.3043933060300377,0.5016186394745661,0.348524034916014
56,True,False,False,False,False,True,True,True,0.4240327691553265,0.2811264462944355,0.46304061224751153,0.3189131023041947
57,True,False,False,False,False,True,True,False,0.4065121888593717,0.2728278055719017,0.41609160435389875,0.29033803242764156
58,True,False,False,False,False,True,False,True,0.4240327691553265,0.2811264462944355,0.46304061224751153,0.3189131023041947
59,True,False,False,False,False,True,False,False,0.4065121888593717,0.2728278055719017,0.41609160435389875,0.29033803242764156
60,True,False,False,False,False,False,True,True,0.4505719123440821,0.290858987022228,0.48491878206077416,0.3313038262382407
61,True,False,False,False,False,False,True,False,0.4447654390613472,0.2900298518819532,0.4622422454543351,0.32015727411979306
62,True,False,False,False,False,False,False,True,0.4505719123440821,0.290858987022228,0.48491878206077416,0.3313038262382407
63,True,False,False,False,False,False,False,False,0.4447654390613472,0.2900298518819532,0.4622422454543351,0.32015727411979306
64,False,True,False,True,True,True,True,True,0.4755631708525481,0.31265430712633746,0.4830642314040222,0.3326089362759055
65,False,True,False,True,True,True,True,False,0.4370021726423746,0.2959969736756008,0.449058861667468,0.3117430009904975
66,False,True,False,True,True,True,False,True,0.4755631708525481,0.31265430712633746,0.4830642314040222,0.3326089362759055
67,False,True,False,True,True,True,False,False,0.4370021726423746,0.2959969736756008,0.449058861667468,0.3117430009904975
68,False,True,False,True,True,False,True,True,0.4921787593649145,0.3180868511349779,0.5268636767506002,0.3662080230686587
69,False,True,False,True,True,False,True,False,0.4636861676622542,0.30609164021120855,0.48683898486484234,0.33924727289256623
70,False,True,False,True,True,False,False,True,0.4921787593649145,0.3180868511349779,0.5268636767506002,0.3662080230686587
71,False,True,False,True,True,False,False,False,0.4636861676622542,0.30609164021120855,0.48683898486484234,0.33924727289256623
72,False,True,False,True,False,True,True,True,0.42427823698853506,0.2823985373164231,0.4242884769077169,0.29672384444257105
73,False,True,False,True,False,True,True,False,0.41023364270911,0.27719371547071964,0.4162870704629975,0.28638848675535333
74,False,True,False,True,False,True,False,True,0.42427823698853506,0.2823985373164231,0.4242884769077169,0.29672384444257105
75,False,True,False,True,False,True,False,False,0.41023364270911,0.27719371547071964,0.4162870704629975,0.28638848675535333
76,False,True,False,True,False,False,True,True,0.45257062193589814,0.29061954842681703,0.47754622878068953,0.32452141753181557
77,False,True,False,True,False,False,True,False,0.4440573245640479,0.29006562863285584,0.4567672504471995,0.31498110545895674
78,False,True,False,True,False,False,False,True,0.45257062193589814,0.29061954842681703,0.47754622878068953,0.32452141753181557
79,False,True,False,True,False,False,False,False,0.4440573245640479,0.29006562863285584,0.4567672504471995,0.31498110545895674
80,False,True,False,False,True,True,True,True,0.47686267398102006,0.3113383414280256,0.5050396404247741,0.34568899121018587
81,False,True,False,False,True,True,True,False,0.44131106725428326,0.2974674687206461,0.45495126564525135,0.31744730779751734
82,False,True,False,False,True,True,False,True,0.47686267398102006,0.3113383414280256,0.5050396404247741,0.34568899121018587
83,False,True,False,False,True,True,False,False,0.44131106725428326,0.2974674687206461,0.45495126564525135,0.31744730779751734
84,False,True,False,False,True,False,True,True,0.4921787593649145,0.3180868511349779,0.5268636767506002,0.3662080230686587
85,False,True,False,False,True,False,True,False,0.4636861676622542,0.30609164021120855,0.48683898486484234,0.33924727289256623
86,False,True,False,False,True,False,False,True,0.4921787593649145,0.3180868511349779,0.5268636767506002,0.3662080230686587
87,False,True,False,False,True,False,False,False,0.4636861676622542,0.30609164021120855,0.48683898486484234,0.33924727289256623
88,False,True,False,False,False,True,True,True,0.4243355769463686,0.2795596284182042,0.4370227253949979,0.3023363486323257
89,False,True,False,False,False,True,True,False,0.40913706339034717,0.27458399234288766,0.42017671320144484,0.29017327803222875
90,False,True,False,False,False,True,False,True,0.4243355769463686,0.2795596284182042,0.4370227253949979,0.3023363486323257
91,False,True,False,False,False,True,False,False,0.40913706339034717,0.27458399234288766,0.42017671320144484,0.29017327803222875
92,False,True,False,False,False,False,True,True,0.45257062193589814,0.29061954842681703,0.47754622878068953,0.32452141753181557
93,False,True,False,False,False,False,True,False,0.4440573245640479,0.29006562863285584,0.4567672504471995,0.31498110545895674
94,False,True,False,False,False,False,False,True,0.45257062193589814,0.29061954842681703,0.47754622878068953,0.32452141753181557
95,False,True,False,False,False,False,False,False,0.4440573245640479,0.29006562863285584,0.4567672504471995,0.31498110545895674
96,False,False,False,True,True,True,True,True,0.47651156117930704,0.31207610882741443,0.500636544703789,0.3435978459519995
97,False,False,False,True,True,True,True,False,0.43585805899742563,0.29232715689812505,0.4505846720525799,0.3093859901945304
98,False,False,False,True,True,True,False,True,0.47651156117930704,0.31207610882741443,0.500636544703789,0.3435978459519995
99,False,False,False,True,True,True,False,False,0.43585805899742563,0.29232715689812505,0.4505846720525799,0.3093859901945304
100,False,False,False,True,True,False,True,True,0.49624064079291147,0.32089227952418575,0.5298243826254392,0.36740274856497396
101,False,False,False,True,True,False,True,False,0.4656889207761491,0.3052349742363406,0.5001042514835919,0.3475620780081603
102,False,False,False,True,True,False,False,True,0.49624064079291147,0.32089227952418575,0.5298243826254392,0.36740274856497396
103,False,False,False,True,True,False,False,False,0.4656889207761491,0.3052349742363406,0.5001042514835919,0.3475620780081603
104,False,False,False,True,False,True,True,True,0.41887836695981245,0.2800448431928445,0.42146590169948667,0.2963521188162905
105,False,False,False,True,False,True,True,False,0.4083684183093552,0.2759091848201747,0.4041801705996209,0.28041510813960185
106,False,False,False,True,False,True,False,True,0.41887836695981245,0.2800448431928445,0.42146590169948667,0.2963521188162905
107,False,False,False,True,False,True,False,False,0.4083684183093552,0.2759091848201747,0.4041801705996209,0.28041510813960185
108,False,False,False,True,False,False,True,True,0.4505681108703816,0.29095422106443025,0.48419624535174344,0.33137911319725666
109,False,False,False,True,False,False,True,False,0.442705060240863,0.28905944437734143,0.4572169058668013,0.31644130238508295
110,False,False,False,True,False,False,False,True,0.4505681108703816,0.29095422106443025,0.48419624535174344,0.33137911319725666
111,False,False,False,True,False,False,False,False,0.442705060240863,0.28905944437734143,0.4572169058668013,0.31644130238508295
112,False,False,False,False,True,True,True,True,0.48056226343998143,0.3132869143902076,0.5077203600309417,0.34769858752602945
113,False,False,False,False,True,True,True,False,0.4418689392214452,0.2949571053723374,0.4602921226854423,0.31837441601748384
114,False,False,False,False,True,True,False,True,0.48056226343998143,0.3132869143902076,0.5077203600309417,0.34769858752602945
115,False,False,False,False,True,True,False,False,0.4418689392214452,0.2949571053723374,0.4602921226854423,0.31837441601748384
116,False,False,False,False,True,False,True,True,0.49624064079291147,0.32089227952418575,0.5298243826254392,0.36740274856497396
117,False,False,False,False,True,False,True,False,0.4656889207761491,0.3052349742363406,0.5001042514835919,0.3475620780081603
118,False,False,False,False,True,False,False,True,0.49624064079291147,0.32089227952418575,0.5298243826254392,0.36740274856497396
119,False,False,False,False,True,False,False,False,0.4656889207761491,0.3052349742363406,0.5001042514835919,0.3475620780081603
120,False,False,False,False,False,True,True,True,0.42251700772588685,0.2793171340372917,0.4489155583994332,0.3097208426714092
121,False,False,False,False,False,True,True,False,0.4049919625467936,0.2722301242603658,0.41260972731497586,0.2886212090585693
122,False,False,False,False,False,True,False,True,0.42251700772588685,0.2793171340372917,0.4489155583994332,0.3097208426714092
123,False,False,False,False,False,True,False,False,0.4049919625467936,0.2722301242603658,0.41260972731497586,0.2886212090585693
124,False,False,False,False,False,False,True,True,0.4505681108703816,0.29095422106443025,0.48419624535174344,0.33137911319725666
125,False,False,False,False,False,False,True,False,0.442705060240863,0.28905944437734143,0.4572169058668013,0.31644130238508295
126,False,False,False,False,False,False,False,True,0.4505681108703816,0.29095422106443025,0.48419624535174344,0.33137911319725666
127,False,False,False,False,False,False,False,False,0.442705060240863,0.28905944437734143,0.4572169058668013,0.31644130238508295
